date,forecasted_sales
2017-12-31,70.39216315993134
2018-01-01,70.39216315993133
2018-01-02,70.39216315993134
2018-01-03,70.39216315993134
2018-01-04,70.39216315993134
2018-01-05,70.39216315993133
2018-01-06,70.39216315993136
2018-01-07,70.39216315993133
2018-01-08,70.39216315993134
2018-01-09,70.39216315993133
2018-01-10,70.39216315993134
2018-01-11,70.39216315993133
2018-01-12,70.39216315993134
2018-01-13,70.39216315993134
2018-01-14,70.39216315993133
2018-01-15,70.39216315993133
2018-01-16,70.39216315993133
2018-01-17,70.39216315993134
2018-01-18,70.39216315993136
2018-01-19,70.39216315993134
2018-01-20,70.39216315993133
2018-01-21,70.39216315993133
2018-01-22,70.39216315993134
2018-01-23,70.39216315993133
2018-01-24,70.39216315993133
2018-01-25,70.39216315993134
2018-01-26,70.39216315993136
2018-01-27,70.39216315993133
2018-01-28,70.39216315993134
2018-01-29,70.39216315993136
